pod,locked_version,direct_pod_declaration,local_source,dependencies
React-FabricComponents,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-FabricComponents/components (= 0.86.3); React-FabricComponents/textlayoutmanager (= 0.86.3); React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-FabricComponents/components/inputaccessory (= 0.86.3); React-FabricComponents/components/iostextinput (= 0.86.3); React-FabricComponents/components/modal (= 0.86.3); React-FabricComponents/components/rncore (= 0.86.3); React-FabricComponents/components/safeareaview (= 0.86.3); React-FabricComponents/components/scrollview (= 0.86.3); React-FabricComponents/components/switch (= 0.86.3); React-FabricComponents/components/text (= 0.86.3); React-FabricComponents/components/textinput (= 0.86.3); React-FabricComponents/components/unimplementedview (= 0.86.3); React-FabricComponents/components/virtualview (= 0.86.3); React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/inputaccessory,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/iostextinput,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/modal,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/rncore,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/safeareaview,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/scrollview,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/switch,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/text,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/textinput,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/unimplementedview,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/components/virtualview,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricComponents/textlayoutmanager,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-logger; React-RCTFBReactNativeSpec; React-rendererdebug; React-runtimescheduler; React-utils; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-FabricImage,0.86.3,True,,hermes-engine; RCTRequired (= 0.86.3); RCTTypeSafety (= 0.86.3); React-Core-prebuilt; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsiexecutor (= 0.86.3); React-logger; React-rendererdebug; React-utils; ReactCommon; ReactNativeDependencies; Yoga
React-featureflags,0.86.3,True,,React-Core-prebuilt; ReactNativeDependencies
React-featureflagsnativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-featureflags; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; ReactCommon/turbomodule/core; ReactNativeDependencies
React-graphics,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-featureflags; React-jsi; React-jsiexecutor; React-rendererdebug; React-utils; ReactNativeDependencies
React-hermes,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact (= 0.86.3); React-jsi; React-jsiexecutor (= 0.86.3); React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-jsitooling; React-oscompat; React-perflogger (= 0.86.3); React-runtimeexecutor; ReactNativeDependencies
React-idlecallbacksnativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; React-runtimeexecutor; React-runtimescheduler; ReactCommon/turbomodule/core; ReactNativeDependencies
React-ImageManager,0.86.3,True,,React-Core-prebuilt; React-Core/Default; React-debug; React-Fabric; React-graphics; React-rendererdebug; React-utils; ReactNativeDependencies
React-intersectionobservernativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact; React-Fabric; React-Fabric/bridging; React-graphics; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; React-runtimeexecutor; React-runtimescheduler; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-jserrorhandler,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-jsi; ReactCommon/turbomodule/bridging; ReactNativeDependencies
React-jsi,0.86.3,True,,hermes-engine; React-Core-prebuilt; ReactNativeDependencies
React-jsiexecutor,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact; React-debug; React-jserrorhandler; React-jsi; React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-jsitooling; React-perflogger; React-runtimeexecutor; React-utils; ReactNativeDependencies
React-jsinspector,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-featureflags; React-jsi; React-jsinspectorcdp; React-jsinspectornetwork; React-jsinspectortracing; React-oscompat; React-perflogger (= 0.86.3); React-runtimeexecutor; React-utils; ReactNativeDependencies
React-jsinspectorcdp,0.86.3,True,,React-Core-prebuilt; ReactNativeDependencies
React-jsinspectornetwork,0.86.3,True,,React-Core-prebuilt; React-jsinspectorcdp; ReactNativeDependencies
React-jsinspectortracing,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-jsi; React-jsinspectornetwork; React-oscompat; React-timing; React-utils; ReactNativeDependencies
React-jsitooling,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact (= 0.86.3); React-debug; React-jsi (= 0.86.3); React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-runtimeexecutor; React-utils; ReactNativeDependencies
React-jsitracing,0.86.3,True,,React-jsi
React-logger,0.86.3,True,,React-Core-prebuilt; ReactNativeDependencies
React-Mapbuffer,0.86.3,True,,React-Core-prebuilt; React-debug; ReactNativeDependencies
React-microtasksnativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; ReactCommon/turbomodule/core; ReactNativeDependencies
React-mutationobservernativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact; React-Fabric; React-Fabric/bridging; React-Fabric/observers/mutation; React-featureflags; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; React-runtimeexecutor; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
react-native-background-timer,2.4.1,True,,React-Core
react-native-menu,2.0.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
react-native-safe-area-context,5.7.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; react-native-safe-area-context/common (= 5.7.0); react-native-safe-area-context/fabric (= 5.7.0); React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
react-native-safe-area-context/common,5.7.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
react-native-safe-area-context/fabric,5.7.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; react-native-safe-area-context/common; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
react-native-track-player,4.1.2,True,,React-Core; SwiftAudioEx (= 1.1.0)
react-native-volume-manager,2.2.0,True,,Mute; React-Core
React-NativeModulesApple,0.86.3,True,,hermes-engine; React-callinvoker; React-Core; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-jsi; React-jsinspector; React-jsinspectorcdp; React-runtimeexecutor; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies
React-networking,0.86.3,True,,React-Core-prebuilt; React-jsinspectornetwork; React-jsinspectortracing; React-performancetimeline; React-timing; ReactNativeDependencies
React-oscompat,0.86.3,True,,
React-perflogger,0.86.3,True,,React-Core-prebuilt; ReactNativeDependencies
React-performancecdpmetrics,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-jsi; React-performancetimeline; React-runtimeexecutor; React-timing; ReactNativeDependencies
React-performancetimeline,0.86.3,True,,React-Core-prebuilt; React-featureflags; React-jsinspector; React-jsinspectortracing; React-perflogger; React-timing; ReactNativeDependencies
React-RCTActionSheet,0.86.3,True,,React-Core/RCTActionSheetHeaders (= 0.86.3)
React-RCTAnimation,0.86.3,True,,RCTTypeSafety; React-Core-prebuilt; React-Core/RCTAnimationHeaders; React-debug; React-featureflags; React-jsi; React-NativeModulesApple; React-RCTFBReactNativeSpec; ReactCommon; ReactNativeDependencies
React-RCTAppDelegate,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-CoreModules; React-debug; React-defaultsnativemodule; React-Fabric; React-featureflags; React-graphics; React-hermes; React-jsitooling; React-NativeModulesApple; React-RCTFabric; React-RCTFBReactNativeSpec; React-RCTImage; React-RCTNetwork; React-RCTRuntime; React-rendererdebug; React-RuntimeApple; React-RuntimeCore; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactCommon; ReactNativeDependencies
React-RCTBlob,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-Core/RCTBlobHeaders; React-Core/RCTWebSocket; React-jsi; React-jsinspector; React-jsinspectorcdp; React-NativeModulesApple; React-RCTFBReactNativeSpec; React-RCTNetwork; ReactCommon; ReactNativeDependencies
React-RCTFabric,0.86.3,True,,hermes-engine; RCTSwiftUIWrapper; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-FabricComponents; React-FabricImage; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-networking; React-performancecdpmetrics; React-performancetimeline; React-RCTAnimation; React-RCTFBReactNativeSpec; React-RCTImage; React-RCTText; React-rendererconsistency; React-renderercss; React-rendererdebug; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
React-RCTFBReactNativeSpec,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-jsi; React-NativeModulesApple; React-RCTFBReactNativeSpec/components (= 0.86.3); ReactCommon; ReactNativeDependencies
React-RCTFBReactNativeSpec/components,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-jsi; React-NativeModulesApple; React-rendererdebug; React-utils; ReactCommon; ReactNativeDependencies; Yoga
React-RCTImage,0.86.3,True,,RCTTypeSafety; React-Core-prebuilt; React-Core/RCTImageHeaders; React-jsi; React-NativeModulesApple; React-RCTFBReactNativeSpec; React-RCTNetwork; ReactCommon; ReactNativeDependencies
React-RCTLinking,0.86.3,True,,React-Core/RCTLinkingHeaders (= 0.86.3); React-jsi (= 0.86.3); React-NativeModulesApple; React-RCTFBReactNativeSpec; ReactCommon; ReactCommon/turbomodule/core (= 0.86.3)
React-RCTNetwork,0.86.3,True,,RCTTypeSafety; React-Core-prebuilt; React-Core/RCTNetworkHeaders; React-debug; React-featureflags; React-jsi; React-jsinspectorcdp; React-jsinspectornetwork; React-NativeModulesApple; React-networking; React-RCTFBReactNativeSpec; ReactCommon; ReactNativeDependencies
React-RCTRuntime,0.86.3,True,,hermes-engine; React-Core; React-Core-prebuilt; React-debug; React-jsi; React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-jsitooling; React-RuntimeApple; React-RuntimeCore; React-runtimeexecutor; React-RuntimeHermes; React-utils; ReactNativeDependencies
React-RCTSettings,0.86.3,True,,RCTTypeSafety; React-Core-prebuilt; React-Core/RCTSettingsHeaders; React-jsi; React-NativeModulesApple; React-RCTFBReactNativeSpec; ReactCommon; ReactNativeDependencies
React-RCTText,0.86.3,True,,React-Core/RCTTextHeaders (= 0.86.3); Yoga
React-RCTVibration,0.86.3,True,,React-Core-prebuilt; React-Core/RCTVibrationHeaders; React-jsi; React-NativeModulesApple; React-RCTFBReactNativeSpec; ReactCommon; ReactNativeDependencies
React-rendererconsistency,0.86.3,True,,
React-renderercss,0.86.3,True,,React-debug; React-utils
React-rendererdebug,0.86.3,True,,React-Core-prebuilt; React-debug; ReactNativeDependencies
React-RuntimeApple,0.86.3,True,,hermes-engine; React-callinvoker; React-Core-prebuilt; React-Core/Default; React-CoreModules; React-cxxreact; React-featureflags; React-jserrorhandler; React-jsi; React-jsiexecutor; React-jsinspector; React-jsitooling; React-Mapbuffer; React-NativeModulesApple; React-RCTFabric; React-RCTFBReactNativeSpec; React-RuntimeCore; React-runtimeexecutor; React-RuntimeHermes; React-runtimescheduler; React-utils; ReactNativeDependencies
React-RuntimeCore,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact; React-Fabric; React-featureflags; React-jserrorhandler; React-jsi; React-jsiexecutor; React-jsinspector; React-jsitooling; React-performancetimeline; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies
React-runtimeexecutor,0.86.3,True,,React-Core-prebuilt; React-debug; React-featureflags; React-jsi (= 0.86.3); React-utils; ReactNativeDependencies
React-RuntimeHermes,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-featureflags; React-hermes; React-jsi; React-jsinspector; React-jsinspectorcdp; React-jsinspectortracing; React-jsitooling; React-jsitracing; React-RuntimeCore; React-runtimeexecutor; React-utils; ReactNativeDependencies
React-runtimescheduler,0.86.3,True,,hermes-engine; React-callinvoker; React-Core-prebuilt; React-cxxreact; React-debug; React-featureflags; React-jsi; React-jsinspectortracing; React-performancetimeline; React-rendererconsistency; React-rendererdebug; React-runtimeexecutor; React-timing; React-utils; ReactNativeDependencies
React-timing,0.86.3,True,,React-debug
React-utils,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-debug; React-jsi (= 0.86.3); ReactNativeDependencies
React-viewtransitionnativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-Fabric; React-Fabric/bridging; React-jsi; React-jsiexecutor; React-RCTFBReactNativeSpec; React-runtimeexecutor; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
React-webperformancenativemodule,0.86.3,True,,hermes-engine; React-Core-prebuilt; React-cxxreact; React-jsi; React-jsiexecutor; React-performancetimeline; React-RCTFBReactNativeSpec; React-runtimeexecutor; ReactCommon/turbomodule/core; ReactNativeDependencies
ReactAppDependencyProvider,0.86.3,True,,ReactCodegen
ReactCodegen,0.86.3,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-FabricImage; React-featureflags; React-graphics; React-jsi; React-jsiexecutor; React-NativeModulesApple; React-RCTAppDelegate; React-rendererdebug; React-utils; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies
ReactCommon,0.86.3,False,,React-Core-prebuilt; ReactCommon/turbomodule (= 0.86.3); ReactNativeDependencies
ReactCommon/turbomodule,0.86.3,False,,hermes-engine; React-callinvoker (= 0.86.3); React-Core-prebuilt; React-cxxreact (= 0.86.3); React-jsi (= 0.86.3); React-logger (= 0.86.3); React-perflogger (= 0.86.3); ReactCommon/turbomodule/bridging (= 0.86.3); ReactCommon/turbomodule/core (= 0.86.3); ReactNativeDependencies
ReactCommon/turbomodule/bridging,0.86.3,False,,hermes-engine; React-callinvoker (= 0.86.3); React-Core-prebuilt; React-cxxreact (= 0.86.3); React-jsi (= 0.86.3); React-logger (= 0.86.3); React-perflogger (= 0.86.3); ReactNativeDependencies
ReactCommon/turbomodule/core,0.86.3,True,,hermes-engine; React-callinvoker (= 0.86.3); React-Core-prebuilt; React-cxxreact (= 0.86.3); React-debug (= 0.86.3); React-featureflags (= 0.86.3); React-jsi (= 0.86.3); React-logger (= 0.86.3); React-perflogger (= 0.86.3); React-utils (= 0.86.3); ReactNativeDependencies
ReactNativeDependencies,0.86.3,True,,
RNCAsyncStorage,2.2.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
RNCMaskedView,0.3.2,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
RNFS,2.20.0,True,,React-Core
RNGestureHandler,2.32.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
RNReanimated,4.5.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; RNReanimated/apple (= 4.5.1); RNReanimated/common (= 4.5.1); RNReanimated/view (= 4.5.1); RNWorklets; Yoga
RNReanimated/apple,4.5.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; RNWorklets; Yoga
RNReanimated/common,4.5.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; RNWorklets; Yoga
RNReanimated/view,4.5.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; RNWorklets; Yoga
RNScreens,4.26.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-RCTImage; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; RNScreens/common (= 4.26.0); Yoga
RNScreens/common,4.26.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-RCTImage; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
RNWorklets,0.10.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; RNWorklets/apple (= 0.10.1); RNWorklets/common (= 0.10.1); Yoga
RNWorklets/apple,0.10.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
RNWorklets/common,0.10.1,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-hermes; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
SDWebImage,5.21.7,False,,SDWebImage/Core (= 5.21.7)
SDWebImage/Core,5.21.7,False,,
SDWebImageAVIFCoder,0.11.1,False,,libavif/core (>= 0.11.0); SDWebImage (~> 5.10)
SDWebImageSVGCoder,1.7.0,False,,SDWebImage/Core (~> 5.6)
SDWebImageWebPCoder,0.14.6,False,,libwebp (~> 1.0); SDWebImage/Core (~> 5.17)
SwiftAudioEx,1.1.0,False,,
SwiftDraw,0.29.0,False,,SwiftDrawDOM (~> 0.29.0)
SwiftDrawDOM,0.29.0,False,,
Yoga,0.0.0,True,,
