pod,locked_version,direct_pod_declaration,local_source,dependencies
LoaderKit,4.1.0,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
MMKVCore,2.4.0,False,,
Mute,0.6.1,False,,
NitroMmkv,4.3.2,True,,hermes-engine; MMKVCore (= 2.4.0); NitroModules; RCTRequired; RCTTypeSafety; React-callinvoker; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
NitroModules,0.35.9,True,,hermes-engine; RCTRequired; RCTTypeSafety; React-callinvoker; React-Core; React-Core-prebuilt; React-debug; React-Fabric; React-featureflags; React-graphics; React-ImageManager; React-jsi; React-NativeModulesApple; React-RCTFabric; React-renderercss; React-rendererdebug; React-utils; ReactCodegen; ReactCommon/turbomodule/bridging; ReactCommon/turbomodule/core; ReactNativeDependencies; Yoga
RCTDeprecation,0.86.3,True,,
RCTRequired,0.86.3,True,,
RCTSwiftUI,0.86.3,True,,
RCTSwiftUIWrapper,0.86.3,True,,RCTSwiftUI
RCTTypeSafety,0.86.3,True,,FBLazyVector (= 0.86.3); RCTRequired (= 0.86.3); React-Core (= 0.86.3)
React,0.86.3,True,,React-Core (= 0.86.3); React-Core/DevSupport (= 0.86.3); React-Core/RCTWebSocket (= 0.86.3); React-RCTActionSheet (= 0.86.3); React-RCTAnimation (= 0.86.3); React-RCTBlob (= 0.86.3); React-RCTImage (= 0.86.3); React-RCTLinking (= 0.86.3); React-RCTNetwork (= 0.86.3); React-RCTSettings (= 0.86.3); React-RCTText (= 0.86.3); React-RCTVibration (= 0.86.3)
React-callinvoker,0.86.3,True,,
React-Core,0.86.3,True,,hermes-engine; RCTDeprecation; React-Core-prebuilt; React-Core/Default (= 0.86.3); React-cxxreact; React-featureflags; React-hermes; React-jsi; React-jsiexecutor; React-jsinspector; React-jsinspectorcdp; React-jsitooling; React-perflogger; React-runtimeexecutor; React-runtimescheduler; React-utils; ReactNativeDependencies; Yoga
